what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394723499827
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394723539855
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394723654597
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394723657871
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394723663556
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394723665431
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394723669254
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394723686855
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724054253
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724077471
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724093334
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724097351
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724137428
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394724138141
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1394724138188
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724241674
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724259065
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724267902
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724269636
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724525982
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724533854
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724534678
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724536943
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394724670709
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1394766294431
