what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_45",1390295014289
java.vm.info,sysinfo,,,"mixed mode, sharing",1390295014289
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1390295014289
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1390295014289
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1390295014289
java.vm.specification.version,sysinfo,,,"1.7",1390295014289
java.vm.vendor,sysinfo,,,"Oracle Corporation",1390295014289
java.vm.version,sysinfo,,,"24.45-b08",1390295014289
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1390295036479
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1390295036519
closed,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1390295036529
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390295038799
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1390295094339
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1390295094339
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1390295094579
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1390295094579
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1390295097519
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1390295097539
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390295097779
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390295108429
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1390295111301
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1390295113411
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390295117241
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390295127861
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1390297830057
